cod_ibge,uf,municipio,microrregiao,mesorregiao,nome_da_regiao_rural,regiao_metropolitana,pib_prc_corr,pib_pc,vab_agro,vab_ind,vab_serv,vab_total,impostos,prop_vab_ag,prop_vab_ind,prop_vab_serv,valor_area_temp,area_plantada_temp,area_plantada_perm,valor_area_perm,bovino,suino_total,galinaceos_total,pop_est,area_urbanizada,area_mapeada,total_frota,automovel,moto,trator,onibus,credito,automovel_pc,total_auto_pc
1100015,ro,alta floresta d'oeste,Cacoal,Leste Rondoniense,Região Rural da Capital Regional de Porto Velho,NA,570272.326,25091.18,203394.419,20716.398,150192.434,535162.881,35109.445,0.3800607744317752,0.038710453836576904,0.28064807805681874,74356,15721,6550,120760,473192,5143,51447,22516,5.12,6.58,16629,3086,10164,1,116,461295816,0.13705809202344998,0.7385414816130752
1100023,ro,ariquemes,Ariquemes,Leste Rondoniense,Região Rural da Capital Regional de Porto Velho,NA,2818048.618,25730.2,199722.71,404751.757,1207405.068,2522392.943,295655.675,0.07917985599914518,0.16046340365930845,0.4786744552829174,76668,9764,689,10680,509210,4753,58053,111148,30.28,34.17,85929,20627,47526,1,341,2083945496,0.1855813869795228,0.7731043293626516
1100031,ro,cabixi,Colorado do Oeste,Leste Rondoniense,Região Rural da Capital Regional de Porto Velho,NA,167189.811,32226.25,81177.101,5438.033,28666.966,159953.175,7236.636,0.5075054058789392,0.03399765587647761,0.17922098764216468,373664,51282,175,1916,124604,3091,29251,5067,1.36,2.24,4189,1133,2114,0,47,0,0.2236037102822183,0.8267219261890665
1100049,ro,cacoal,Cacoal,Leste Rondoniense,Região Rural do Centro Sub-regional de Vilhena (RO) e Cacoal (RO),NA,2519352.677,29331.29,236214.952,275536.823,1157343.983,2244902.148,274450.529,0.10522282773458329,0.12273890122359131,0.5155431759157459,34965,6521,10774,205852,437032,7670,387154,86416,24.6,29.01,78217,20386,43130,4,484,1253302846,0.23590538789113127,0.9051217367154231
1100056,ro,cerejeiras,Colorado do Oeste,Leste Rondoniense,Região Rural da Capital Regional de Porto Velho,NA,600670.074,37069.25,94757.639,23582.33,276755.106,510746.929,89923.146,0.1855275746552751,0.04617224042085234,0.541863475404274,512772,65309,120,1822,82558,2987,20354,16088,5.43,6.7,13440,3487,6973,0,53,683699457,0.21674540029835904,0.8354052710094481
1100064,ro,colorado do oeste,Colorado do Oeste,Leste Rondoniense,Região Rural da Capital Regional de Porto Velho,NA,366930.664,23605.94,88922.637,24321.934,118528.927,342855.939,24074.724,0.259358601922891,0.07093922325201431,0.34571058429295576,47659,5514,124,1744,267070,6001,43228,15213,5.91,9.18,13783,3522,7441,0,109,323638405,0.23151252218497337,0.9060014461315979
1100072,ro,corumbiara,Colorado do Oeste,Leste Rondoniense,Região Rural da Capital Regional de Porto Velho,NA,268380.612,37171.83,155647.734,10847.324,34749.002,258181.086,10199.526,0.6028626512168285,0.04201440224788581,0.13459158661994317,658898,89000,86,1008,308673,5668,38545,7052,1.34,2.72,4899,1078,2785,0,42,0,0.1528644356211004,0.6946965399886557
1100080,ro,costa marques,Guajará-Mirim,Madeira-Guaporé,Região Rural da Capital Regional de Porto Velho,NA,261978.244,13936.5,80683.532,6205.426,48318.216,252701.935,9276.309,0.3192833960689696,0.02455630583121574,0.19120635542422737,7490,576,135,2636,265041,3346,25163,19255,6.06,6.3,5363,1025,3336,1,36,205621868,0.053232926512594134,0.27852505842638275
1100098,ro,espigao d'oeste,Cacoal,Leste Rondoniense,Região Rural do Centro Sub-regional de Vilhena (RO) e Cacoal (RO),NA,666330.792,20380.2,137801.664,54520.522,213512.831,608046.24,58284.551,0.22663023785822603,0.08966509191800939,0.3511457138522886,28555,5356,1455,19080,383370,5624,58023,33009,8.65,10.17,21719,4279,13162,5,167,180105228,0.1296313126723015,0.6579720682238177
1100106,ro,guajara-mirim,Guajará-Mirim,Madeira-Guaporé,Região Rural da Capital Regional de Porto Velho,NA,984586.158,21148.43,59384.459,41650.073,443004.732,845124.818,139461.341,0.07026708686716145,0.04928274748641922,0.5241885252504797,17518,725,162,1481,141386,850,13558,46930,14.21,17.53,19468,4596,10505,1,60,404094413,0.09793309183890901,0.41483059876411676
1100114,ro,jaru,Ji-Paraná,Leste Rondoniense,Região Rural da Capital Regional de Porto Velho,NA,1665068.252,32256.26,223880.991,195776.026,712461.178,1476061.872,189006.38,0.1516745302123758,0.1326340241650792,0.4826770418740279,26594,1021,1812,27837,534672,5132,62862,51469,15.13,16.17,43057,9395,26693,2,262,1199216013,0.182537061143601,0.8365618139074006
1100122,ro,ji-parana,Ji-Paraná,Leste Rondoniense,Região Rural da Capital Regional de Porto Velho,NA,4057626.427,31210.35,155960.875,589530.578,1950006.848,3491594.396,566032.031,0.04466752357566792,0.1688428010639985,0.5584860745090965,3746,229,428,3102,402959,5285,60073,131026,41.73,45.16,105018,29166,54412,9,827,1822970493,0.22259704180849602,0.8015050448002686
1100130,ro,machadinho d'oeste,Ariquemes,Leste Rondoniense,Região Rural dos Centros de Zona de Eirunepé e Lábrea,NA,700317.164,17136.5,226106.228,35782.308,150365.499,664486.836,35830.328,0.3402719448305218,0.05384953630593819,0.22628815328404792,143139,15818,1124,24837,416642,6901,92408,41724,7.5,10.01,18063,3809,11307,2,80,298424537,0.09129038443102291,0.432916307161346
1100148,ro,nova brasilandia d'oeste,Alvorada D'Oeste,Leste Rondoniense,Região Rural da Capital Regional de Porto Velho,NA,403369.814,19687.14,123270.059,22560.662,100805.519,376472.1,26897.714,0.3274347793634641,0.05992651779507698,0.26776358460560556,19339,2369,6277,125683,226852,3656,43459,20504,4.77,4.85,11374,2307,7224,0,149,166395395,0.11251463129145532,0.5547210300429185
1100155,ro,ouro preto do oeste,Ji-Paraná,Leste Rondoniense,Região Rural da Capital Regional de Porto Velho,NA,885192.83,24769.65,163407.384,88619.198,330930.674,817460.041,67732.789,0.1998964790989704,0.10840798761440623,0.40482795170657154,3857,153,1537,9247,361116,4772,40322,35445,9.47,10.05,29762,6558,18359,1,177,495824910,0.18501904358865848,0.8396670898575257
1100189,ro,pimenta bueno,Vilhena,Leste Rondoniense,Região Rural da Capital Regional de Porto Velho,NA,1361242.673,36909.05,125229.046,225648.817,515002.214,1128477.096,232765.577,0.11097172148543102,0.19995870345958713,0.4563692216930914,35622,4710,176,3263,318608,4521,34239,37098,10.44,13.82,27887,7459,13789,6,197,675213351,0.2010620518626341,0.7517116825704889
1100205,ro,porto velho,Porto Velho,Madeira-Guaporé,Região Rural da Capital Regional de Porto Velho,Região Metropolitana de Porto Velho,19448762.109,36059.36,797347.601,4978615.476,7774205.524,17191550.135,2257211.975,0.04638020392219855,0.289596658643604,0.4522108514329153,276163,46876,5163,57276,1353947,11106,295102,548952,121.24,150.73,313097,124295,121997,11,2809,9145088881,0.22642234658039317,0.5703540564566665
1100254,ro,presidente medici,Ji-Paraná,Leste Rondoniense,Região Rural da Capital Regional de Porto Velho,NA,464219.156,24996.99,121355.434,41018.503,134878.452,422845.013,41374.143,0.286997434684183,0.09700599921702281,0.31897846221021886,3252,458,466,3643,358271,6033,49416,18165,5.49,5.53,13101,3269,6236,0,146,247760632,0.17996146435452795,0.7212221304706854
1100262,ro,rio crespo,Ariquemes,Leste Rondoniense,Região Rural da Capital Regional de Porto Velho,NA,133580.494,35115.8,76393.743,5251.133,13634.017,129035.157,4545.338,0.5920382070756112,0.04069536645737564,0.10566125788493441,290088,38291,167,1824,123859,670,4486,3843,0.8,0.87,1359,313,643,0,22,0,0.08144678636481915,0.35362997658079626
1100288,ro,rolim de moura,Cacoal,Leste Rondoniense,Região Rural da Capital Regional de Porto Velho,NA,1397881.252,25229.33,118330.14,186531.72,584319.61,1259180.385,138700.868,0.09397393845203521,0.1481374092402178,0.46404757964840754,53226,10348,1615,44898,238493,5834,178592,55748,20.81,23.66,50933,12783,30073,0,228,805526916,0.22929970581904283,0.9136291884910669
1100296,ro,santa luzia d'oeste,Cacoal,Leste Rondoniense,Região Rural da Capital Regional de Porto Velho,NA,156788.517,25223.38,61497.058,11981.571,28825.567,150758.022,6030.495,0.40791897627842316,0.07947551208916763,0.19120420006571856,49493,7296,556,12854,182047,2820,30078,5942,2.19,2.34,5067,1169,2917,0,67,0,0.19673510602490743,0.8527431841130932
1100304,ro,vilhena,Vilhena,Leste Rondoniense,Região Rural do Centro Sub-regional de Vilhena (RO) e Cacoal (RO),NA,3152999.703,30847.95,179259.884,392170.482,1439934.583,2709046.086,443953.617,0.06617085066451689,0.14476331134663464,0.5315282713134324,600903,76386,38,801,131267,5867,333223,104517,31.1,40.47,75088,24608,29616,5,302,2279790771,0.2354449515389841,0.718428580996393
1100320,ro,sao miguel do guapore,Alvorada D'Oeste,Leste Rondoniense,Região Rural da Capital Regional de Porto Velho,NA,730694.76,31663.33,257601.474,93117.958,169665.505,683652.879,47041.881,0.3768015639410479,0.136206488497798,0.24817492942935448,150116,31631,10063,259003,262056,5494,55737,23147,5.77,6.64,13257,3451,7648,0,98,533300840,0.1490905948935067,0.5727308074480494
1100338,ro,nova mamore,Porto Velho,Madeira-Guaporé,Região Rural da Capital Regional de Porto Velho,NA,601909.567,19173.98,250818.14,21298.702,110480.071,578171.07,23738.497,0.4338130235399015,0.0368380624786363,0.1910854360111792,57364,8165,743,5293,807820,6911,64592,32184,7.99,11.66,11984,2427,7098,0,54,641828254,0.07541014168530948,0.3723589361173254
1100346,ro,alvorada d'oeste,Alvorada D'Oeste,Leste Rondoniense,Região Rural da Capital Regional de Porto Velho,NA,289533.292,20525.54,101028.515,13165.692,64862.706,277775.296,11757.996,0.3637059034940242,0.047396914662994366,0.23350782785233717,15214,1271,1328,23424,268615,3305,44691,13807,4.01,4.61,9422,2001,5789,0,93,254753017,0.144926486564786,0.682407474469472
1100379,ro,alto alegre dos parecis,Cacoal,Leste Rondoniense,Região Rural da Capital Regional de Porto Velho,NA,324544.283,24484.67,156818.275,13422.8,48774.543,311321.588,13222.695,0.5037179593212148,0.04311554520273101,0.1566693248397538,290817,43630,4183,126736,223815,4235,38237,13268,2.46,2.77,6233,1329,3843,0,74,0,0.10016581248115768,0.4697769068435333
1100403,ro,alto paraiso,Ariquemes,Leste Rondoniense,Região Rural da Capital Regional de Porto Velho,NA,396377.209,18143.32,121183.172,19894.149,99863.64,374897.647,21479.561,0.3232433518047661,0.05306554778136551,0.2663757449509946,236848,31485,1139,18828,351664,2102,41894,22258,3.17,4.6,9785,1987,5601,0,124,489009786,0.0892712732500674,0.43961721628178635
